WARN  [main] grid.GridVariable.[] Jun/21 12:26:08 - Duplicate record for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
 GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=497248}
 GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=255195}
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=88} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Sun Feb 13 21:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=32835} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Sun Feb 13 19:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=91688} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Sun Feb 13 20:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=202868} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Sun Feb 13 23:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=255195} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 01:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=314048} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Sun Feb 13 22:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=359847} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 00:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=412174} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 02:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=464501} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 07:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=497248} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 01:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=556101} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 02:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=608428} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 03:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=660755} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 09:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=686976} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 06:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=732775} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 04:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:03 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=785102} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 00:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:04 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=837429} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 05:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridTimeCoord.[] Jun/21 12:34:04 - GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=889756} does not have same base date= Sun Feb 13 18:00:00 CST 2011 != Mon Feb 14 08:00:00 CST 2011 for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
WARN  [main] grid.GridVariable.[] Jun/21 12:34:04 - Duplicate record for /Users/isuftin/Workspace/dcpt/target/classes/QPE.20110214.009.105
 GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=497248}
 GribGridRecord{param=Total_precipitation, levelType1=1, levelValue1=0.0, forecastTime=1, pdsOffset=255195}
